model_id,num_shards,total_proof_size,total_witness_size,total_vk_size,total_pk_size
testing,1,20392,2196,624263,2382989283
testing,12,258163,76270,753236,2813955316
testing,2,39210,8925,560014,2131267070
testing,3,61195,15621,700757,2664084733
testing,4,83101,22368,562972,2131270652
testing,6,126776,35816,705194,2664090106
mlp,1,25777,4475,87943,339826963
mlp,12,218243,46568,206532,573871076
mlp,2,50813,8028,132878,509741606
mlp,3,78728,11601,160597,610433053
mlp,4,100360,14893,136732,509746252
mlp,6,129447,22505,132522,480120298
cnn,1,391726,362029,6818183,27118799731
cnn,12,13069560,12889273,4231956,15828164696
cnn,2,852804,801721,8917262,35308180614
cnn,3,2291192,2213436,6646229,26451734293
cnn,4,1836380,1734214,5403164,21383772428
cnn,6,6258413,6139813,4537386,17631495346
mlp2,1,145378,121001,96471111,380201077239
mlp2,12,1094075,924432,58645908,224191736476
mlp2,2,194861,152201,88772366,350699033126
mlp2,3,275514,214374,93152725,368055249493
mlp2,4,406439,320890,66842140,264043754572
mlp2,6,510667,406979,61204906,237534704058