setup_id,shard_id,model_id,setup_time,vk_size,pk_size
mlp-1,0,mlp,17.850084175996017,87943,339826963
mlp-2,1,mlp,10.208505838003475,44935,169914643
mlp-2,0,mlp,20.26365829398856,87943,339826963
mlp-3,0,mlp,18.113687490986194,87943,339826963
mlp-3,2,mlp,10.755152388999704,23431,84958483
mlp-3,1,mlp,15.428639308025597,49223,185647607
mlp-4,0,mlp,11.623428168008104,44935,169914643
mlp-4,1,mlp,10.932499287009705,44935,169914643
mlp-4,3,mlp,6.314935517963022,23431,84958483
mlp-4,2,mlp,8.710756005952135,23431,84958483
mlp-6,0,mlp,8.814554370008409,36295,133205759
mlp-6,1,mlp,6.291523634979967,21191,77091887
mlp-6,2,mlp,6.238283338025212,21191,77091887
mlp-6,3,mlp,6.403466208023019,21191,77091887
mlp-6,5,mlp,3.2891803609672934,11463,38546991
mlp-6,4,mlp,6.551109560998157,21191,77091887
mlp-12,0,mlp,1.016717673977837,1143,222555
mlp-12,1,mlp,8.673465153027792,36295,133205759
mlp-12,2,mlp,4.519881576998159,33927,62948739
mlp-12,3,mlp,5.7724849010119215,18887,66603775
mlp-12,4,mlp,3.0469172070152126,17543,31475075
mlp-12,5,mlp,5.764616373984609,18887,66603775
mlp-12,6,mlp,2.902978965954389,17543,31475075
mlp-12,7,mlp,5.803021411004011,18887,66603775
mlp-12,8,mlp,2.1779553620144725,9351,15738243
mlp-12,9,mlp,5.8680980289937,18887,66603775
mlp-12,10,mlp,2.257253832998685,9351,15738243
mlp-12,11,mlp,2.7780530469608493,5831,16652287
mlp2-1,0,mlp2,14785.748611510004,96471111,380201077239
mlp2-2,1,mlp2,129.99879470099404,690055,2718599443
mlp2-2,0,mlp2,12428.127329893992,88082311,347980433683
mlp2-3,2,mlp2,24.79626516200369,87943,339826963
mlp2-3,1,mlp2,986.702640251984,4982471,19734988847
mlp2-3,0,mlp2,12899.825794678996,88082311,347980433683
mlp2-4,3,mlp2,27.533263923978662,87943,339826963
mlp2-4,2,mlp2,161.05021510799995,690055,2718599443
mlp2-4,1,mlp2,7903.100265909015,22022023,86995110163
mlp2-4,0,mlp2,7947.371637526987,44042119,173990218003
mlp2-6,5,mlp2,4.737271316989791,6599,19274543
mlp2-6,4,mlp2,23.35607072300627,79559,308361263
mlp2-6,3,mlp2,129.79402873900835,558535,2131265279
mlp2-6,2,mlp2,837.09558650502,4982471,19734988847
mlp2-6,1,mlp2,6612.5274205989845,19924679,78939949103
mlp2-6,0,mlp2,6633.639035491011,35653063,136400865023
mlp2-12,0,mlp2,1.8796304120041896,4615,7082731
mlp2-12,2,mlp2,6.163593600998865,33927,62948739
mlp2-12,4,mlp2,4.86930901100277,17543,31475075
mlp2-12,6,mlp2,1.055857024010038,1479,886443
mlp2-12,8,mlp2,3.673422235006001,9351,15738243
mlp2-12,7,mlp2,133.911336293997,558535,2131265279
mlp2-12,9,mlp2,245.069909643993,71111,266409727
mlp2-12,5,mlp2,724.1985309970041,4457927,17050109695
mlp2-12,10,mlp2,3.471078506001504,5255,7869827
mlp2-12,11,mlp2,4.471772836986929,5831,16652287
mlp2-12,3,mlp2,5875.657216836,17827271,68200433407
mlp2-12,1,mlp2,6755.933104043972,35653063,136400865023
cnn-1,0,cnn,1326.7553690740024,6818183,27118799731
cnn-2,1,cnn,935.4936534040024,5506951,21748779283
cnn-2,0,cnn,1760.9915190210013,3410311,13559401331
cnn-3,2,cnn,22.721723641996505,87943,339826963
cnn-3,0,cnn,1473.212340790997,3410311,13559401331
cnn-3,1,cnn,1828.3750586699896,3147975,12552505999
cnn-4,3,cnn,31.906785315994057,87943,339826963
cnn-4,2,cnn,804.7573915490066,2754439,10874390803
cnn-4,0,cnn,1103.2866972740012,854407,3389852531
cnn-4,1,cnn,1270.6522571169917,1706375,6779702131
cnn-6,5,cnn,8.101273156004027,6599,19274543
cnn-6,4,cnn,34.44862410800124,79559,308361263
cnn-6,0,cnn,288.0453778630035,690055,2718599443
cnn-6,2,cnn,619.4722166970023,87623,287397783
cnn-6,3,cnn,810.0102247610048,2229703,8525055743
cnn-6,1,cnn,1299.1177416349965,1443847,5772806571
cnn-12,1,cnn,15.671995978002087,66695,125896067
cnn-12,0,cnn,114.3914591879875,558535,2131265279
cnn-12,4,cnn,9.807300469998154,33927,62948739
cnn-12,6,cnn,3.397095708991401,8199,14164203
cnn-12,8,cnn,106.33061293799256,17543,31475075
cnn-12,3,cnn,233.85017558500115,1115591,4262528767
cnn-12,9,cnn,17.31293596100295,71111,266409727
cnn-12,10,cnn,9.50849244800338,5255,7869827
cnn-12,11,cnn,11.07256680399587,5831,16652287
cnn-12,5,cnn,269.9039988549921,40327,127966899
cnn-12,2,cnn,405.88372297299793,79239,255932083
cnn-12,7,cnn,490.3999110720033,2229703,8525055743